f_name,intended_ratio,experiment,low_signal
190506_NUDT7A_p026_NUDT7A_0_8_a,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_0_8_c,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_0_8_d,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_0_9,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_0_9_a,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_0_9_c,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_0_9_d,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_0_95_a,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_0_95_b,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_0_95_c,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_0_95_d,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_1_0,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_1_0_a,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_1_0_c,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_1_0_d,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_0_a,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_0_b,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_0_c,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_1_a,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_1_b,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_1_c,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_2_a,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_2_b,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_2_c,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_3_a,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_3_b,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_3_c,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_4_a,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_4_b,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_4_c,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_5_a,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_5_b,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_5_c,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_6_a,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_6_b,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_6_c,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_7_a,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_7_b,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_7_c,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_8_a,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_8_b,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_8_c,0.732,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_9_a,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_9_b,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_9_c,0.86,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_95_a,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_95_b,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_0_95_c,0.92,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_1_0_a,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_1_0_b,1.0,calibration,False
190506_NUDT7A_p026_NUDT7A_imp_1_0_c,1.0,calibration,False
190510_NUDT7A_p026_NUDT7A_p026_0_0,0.0,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_1,0.1,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_2,0.2,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_3,0.3,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_4,0.4,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_5,0.5,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_6,0.6,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_7,0.7,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_8,0.8,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_0_9,0.9,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_1_0,1.0,pre_xtal,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_15,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_15.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5a_1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5a_1.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5a_2,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5a_2.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_1.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_2,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_2.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_3,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_D5c_3.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_E6a_1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_E6a_1.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_E6a_2,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_E6a_2.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_F7a_1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_F7a_1.1,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_F7a_2,0.0,crystal_mass_spec_suppression,False
190510_NUDT7A_p026_NUDT7A_p026_xtal_F7a_2.1,0.0,crystal_mass_spec_suppression,False
